安徽频道,#genre#
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039
安徽公共,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000009
安徽经济生活,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000005
安徽影视,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000007
安徽农业·科教,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000013
安徽综艺·体育,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000011
安徽国际,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000015
央视,#genre#

CCTV1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000152
CCTV2,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000477
CCTV3,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000487
CCTV4,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000573
CCTV5,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000481
CCTV5+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000153
CCTV6,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000005
CCTV7,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000485
CCTV8,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000476
CCTV9,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000478
CCTV10,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000480
CCTV11,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000583
CCTV12,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000482
CCTV13,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000602
CCTV14,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000483
CCTV15,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000587
CCTV16,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000625
CCTV17,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000580
CCTV-4K超高清,http://10.255.127.35:6060/gitv_live/G_CCTV-4K-HD/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CETV-1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000463
CETV-2,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000251
CETV-3,http://10.255.127.35:6060/gitv_live/G_CETV-3/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
CETV-4,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000252
